page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     779   336  rgb     3   8  image  no        23  0   108   108 24.2K 3.2%
   1     1 image    1140   339  rgb     3   8  image  no        36  0   198   198 43.3K 3.8%
   2     2 image     679   161  rgb     3   8  image  no        39  0    97    97 14.8K 4.6%
   2     3 image     520    50  rgb     3   8  image  no        40  0    96    96 7255B 9.3%
   2     4 image     406   173  rgb     3   8  image  no        41  0    96    96 10.3K 5.0%
   2     5 image     162   165  rgb     3   8  image  no        42  0    96    96 5392B 6.7%
   2     6 image     566   200  rgb     3   8  image  no        43  0    98    98 18.2K 5.5%
   3     7 image     446    69  rgb     3   8  image  no        58  0    96    96 5787B 6.3%
   3     8 image     401   174  rgb     3   8  image  no        59  0    96    96 14.4K 7.0%
   3     9 image     472   227  rgb     3   8  image  no        60  0    96    96 18.7K 6.0%
   3    10 image     164   155  rgb     3   8  image  no        61  0    96    96 9853B  13%
   4    11 image     617   157  rgb     3   8  jpeg   yes       71  0    92    92 8069B 2.8%
   4    12 image     577   214  rgb     3   8  image  no        72  0    88    88 16.8K 4.6%
   5    13 image     593   225  rgb     3   8  image  no        75  0    82    82 14.7K 3.8%
   5    14 image     575   221  rgb     3   8  image  no        76  0    83    83 16.1K 4.3%
   6    15 image     279   143  rgb     3   8  image  no        79  0    96    96 3349B 2.8%
   6    16 image     293   114  rgb     3   8  image  no        80  0    96    96 3297B 3.3%
   6    17 image     150   218  rgb     3   8  image  no        81  0    96    96 15.6K  16%
   6    18 image     549   155  rgb     3   8  image  no        82  0   168   168 8047B 3.2%
   6    19 image     482   356  rgb     3   8  jpeg   yes       83  0   178   166 12.0K 2.4%
   7    20 image     292   275  rgb     3   8  image  no        86  0   138   138 14.1K 6.0%
   7    21 image     445   271  rgb     3   8  jpeg   yes       87  0   205   205 7735B 2.1%
   7    22 image     336   349  rgb     3   8  jpeg   yes       88  0   198   198 7711B 2.2%
   7    23 image     318   245  rgb     3   8  jpeg   yes       89  0   140   140 7065B 3.0%
   7    24 image     427    64  rgb     3   8  image  no        90  0    96    96 1649B 2.0%
   7    25 image     280   114  rgb     3   8  image  no        91  0   145   145 3711B 3.9%
   7    26 image     284   132  rgb     3   8  image  no        92  0   141   141 4241B 3.8%
   7    27 image     404   167  rgb     3   8  image  no        93  0   180   180 7811B 3.9%
   7    28 image     544   113  rgb     3   8  image  no        94  0   197   197 6304B 3.4%
   8    29 image     519    44  rgb     3   8  image  no        97  0    96    96 4969B 7.3%
   8    30 image     196   199  rgb     3   8  image  no        98  0    96    96 5493B 4.7%
   8    31 image    1186   344  rgb     3   8  jpeg   yes       99  0   206   206 19.8K 1.7%
   8    32 image     649   210  rgb     3   8  image  no       100  0   113   112 15.2K 3.8%
   9    33 image     144   173  rgb     3   8  image  no       103  0    96    96 8045B  11%
   9    34 image     263    91  rgb     3   8  image  no       104  0    96    96 2663B 3.7%
   9    35 image    1284   496  rgb     3   8  image  no       105  0   164   164  121K 6.5%
   9    36 image     167   211  rgb     3   8  image  no       106  0    96    96 8101B 7.7%
  10    37 image     646   186  rgb     3   8  image  no       109  0    99    99 17.1K 4.9%
  10    38 image     608   219  rgb     3   8  image  no       110  0   189   189 13.5K 3.4%
  10    39 image     313   302  rgb     3   8  jpeg   yes      111  0   133   133 7827B 2.8%
  10    40 image    1123   438  rgb     3   8  jpeg   yes      112  0   195   195 26.8K 1.9%
  10    41 image     521    37  rgb     3   8  image  no       113  0    96    96 5237B 9.1%
  11    42 image    1210   363  rgb     3   8  jpeg   yes      116  0   165   165 27.3K 2.1%
  11    43 image    1167   334  rgb     3   8  image  no       117  0   181   181 38.3K 3.4%
  11    44 image    1148   377  rgb     3   8  image  no       118  0   180   180 46.0K 3.6%
  12    45 image     585   232  rgb     3   8  image  no       121  0    85    85 22.1K 5.6%
  12    46 image     438    59  rgb     3   8  image  no       122  0    96    96 8522B  11%
  13    47 image     616   178  rgb     3   8  image  no       125  0   100   100 17.0K 5.3%
  13    48 image    1150   300  rgb     3   8  image  no       126  0   171   171 37.8K 3.7%
  13    49 image    1206   275  rgb     3   8  image  no       127  0   170   170 31.4K 3.2%
  13    50 image     537    39  rgb     3   8  image  no       128  0    96    96 5253B 8.4%
  14    51 image    1175   437  rgb     3   8  image  no       131  0   158   158 39.4K 2.6%
  14    52 image    1189   435  rgb     3   8  jpeg   yes      132  0   206   206 37.7K 2.5%
  15    53 image     752   269  rgb     3   8  image  no       135  0   200   200 51.7K 8.7%
  15    54 image     376   316  rgb     3   8  jpeg   yes      136  0   111   111 7892B 2.2%
  15    55 image    1156   370  rgb     3   8  image  no       137  0   200   200 42.4K 3.4%
  16    56 image     517   258  rgb     3   8  image  no       140  0   189   189 13.9K 3.6%
  16    57 image     381   283  rgb     3   8  jpeg   yes      141  0   139   139 7656B 2.4%
  16    58 image    1168   335  rgb     3   8  image  no       142  0   202   203 37.1K 3.2%
  16    59 image    1094   350  rgb     3   8  image  no       143  0   190   190 36.9K 3.3%
  17    60 image    1143   427  rgb     3   8  image  no       146  0   173   173 45.7K 3.2%
  17    61 image    1149   335  rgb     3   8  image  no       147  0   178   178 45.4K 4.0%
  17    62 image    1161   330  rgb     3   8  image  no       148  0   201   201 33.9K 3.0%
  18    63 image    1190   417  rgb     3   8  image  no       151  0   206   206 42.6K 2.9%
  19    64 image     355   415  rgb     3   8  jpeg   yes      154  0    96    96 10.0K 2.3%
  19    65 image     498    68  rgb     3   8  image  no       155  0    96    96 1845B 1.8%
  19    66 image      38    56  rgb     3   8  image  no       156  0    96    96  108B 1.7%
  19    67 image     162   144  rgb     3   8  image  no       157  0    96    96  624B 0.9%
  20    68 image     634   374  rgb     3   8  image  no       165  0   110   110 25.4K 3.7%
  21    69 image    1180   478  rgb     3   8  image  no       168  0   170   170 62.1K 3.8%
  21    70 image     431   146  rgb     3   8  image  no       169  0   152   152 9769B 5.2%
  21    71 image     312   270  rgb     3   8  jpeg   yes      170  0    96    96 7158B 2.8%
  22    72 image     782   529  rgb     3   8  image  no       173  0   107   107 74.6K 6.2%
  22    73 image     824   352  rgb     3   8  jpeg   yes      174  0   103   103 25.7K 3.0%
  23    74 image    1021   295  rgb     3   8  image  no       177  0   177   177 38.4K 4.4%
  23    75 image    1045   260  rgb     3   8  image  no       178  0   152   152 37.9K 4.8%
  24    76 image    1018   289  rgb     3   8  image  no       181  0   176   176 33.3K 3.9%
  24    77 image     646   339  rgb     3   8  jpeg   yes      182  0   112   112 17.7K 2.8%
  24    78 image     657    95  rgb     3   8  image  no       183  0   114   114 4499B 2.4%
  24    79 image     805    45  rgb     3   8  image  no       184  0   140   140 5764B 5.3%
  25    80 image    1046   336  rgb     3   8  image  no       187  0   135   135 39.7K 3.9%
  25    81 image     989   374  rgb     3   8  image  no       188  0   143   143 38.4K 3.5%
  26    82 image    1037   251  rgb     3   8  image  no       191  0   144   144 29.3K 3.8%
  26    83 image     791   375  rgb     3   8  jpeg   yes      192  0   105   105 30.3K 3.5%
  27    84 image    1027   330  rgb     3   8  image  no       195  0   147   147 41.7K 4.2%
  27    85 image     825   302  rgb     3   8  jpeg   yes      196  0   106   106 24.9K 3.4%
  28    86 image    1033   318  rgb     3   8  image  no       199  0   136   136 35.7K 3.7%
  28    87 image     828   443  rgb     3   8  image  no       200  0   131   131 96.3K 9.0%
  29    88 image     973   276  rgb     3   8  image  no       203  0   137   137 37.4K 4.8%
  30    89 image     766   631  rgb     3   8  jpeg   yes      206  0   103   103 29.5K 2.1%
  30    90 image     557   228  rgb     3   8  image  no       207  0    97    97 13.8K 3.7%
  31    91 image     163   235  rgb     3   8  image  no       210  0    96    96 6162B 5.4%
  32    92 image     780   220  rgb     3   8  image  no       213  0   102   102 28.6K 5.7%
  32    93 image     761   199  rgb     3   8  image  no       214  0   103   103 10.6K 2.4%
  33    94 image     739   398  rgb     3   8  image  no       217  0   100   100 40.7K 4.7%
  34    95 image     734   506  rgb     3   8  image  no       220  0   104   104 50.5K 4.6%
  35    96 image     745   262  rgb     3   8  image  no       223  0    93    93 47.0K 8.2%
  36    97 image     732   411  rgb     3   8  image  no       226  0    95    95 40.0K 4.5%
  37    98 image     627   326  rgb     3   8  image  no       229  0    86    86 20.4K 3.4%
  38    99 image     604   239  rgb     3   8  image  no       232  0    80    80 19.8K 4.7%
  39   100 image     731   266  rgb     3   8  image  no       235  0    97    97 27.1K 4.8%
  40   101 image     729   225  rgb     3   8  image  no       238  0    93    93 33.3K 6.9%
  41   102 image     609   342  rgb     3   8  image  no       248  0    82    82 25.4K 4.2%
  42   103 image     630   189  rgb     3   8  image  no       251  0    79    79 19.2K 5.5%
  44   104 image     799   256  rgb     3   8  jpeg   yes      256  0   113   113 13.7K 2.3%
  45   105 image     972   285  rgb     3   8  image  no       259  0   130   130 44.6K 5.5%
  46   106 image    1017   292  rgb     3   8  image  no       262  0   133   133 49.4K 5.7%
  47   107 image    1006   270  rgb     3   8  image  no       265  0   131   131 41.8K 5.3%
  48   108 image     996   307  rgb     3   8  image  no       268  0   134   134 48.4K 5.4%
  49   109 image    1008   303  rgb     3   8  image  no       271  0   130   130 50.7K 5.7%
  50   110 image    1018   330  rgb     3   8  image  no       274  0   140   140 53.8K 5.5%
  51   111 image    1026   340  rgb     3   8  image  no       277  0   126   127 61.1K 6.0%
  52   112 image     218    44  rgb     3   8  image  no       280  0    96    96  709B 2.5%
